,DRG,CM-PCS,en
1320,DRG50502,T3121,Burns involving 20-29% of body surface with 10-19% third degree burns
1321,DRG50502,T3122,Burns involving 20-29% of body surface with 20-29% third degree burns
1322,DRG50502,T3131,Burns involving 30-39% of body surface with 10-19% third degree burns
1323,DRG50502,T3132,Burns involving 30-39% of body surface with 20-29% third degree burns
1324,DRG50502,T3133,Burns involving 30-39% of body surface with 30-39% third degree burns
1325,DRG50502,T3221,Corrosions involving 20-29% of body surface with 10-19% third degree corrosion
1326,DRG50502,T3222,Corrosions involving 20-29% of body surface with 20-29% third degree corrosion
1327,DRG50502,T3231,Corrosions involving 30-39% of body surface with 10-19% third degree corrosion
1328,DRG50502,T3232,Corrosions involving 30-39% of body surface with 20-29% third degree corrosion
1329,DRG50502,T3233,Corrosions involving 30-39% of body surface with 30-39% third degree corrosion
