,DRG,CM-PCS,en
4650,DRG50804,T2130XA,"Burn of third degree of trunk, unspecified site, initial encounter"
4651,DRG50804,T2131XA,"Burn of third degree of chest wall, initial encounter"
4652,DRG50804,T2132XA,"Burn of third degree of abdominal wall, initial encounter"
4653,DRG50804,T2133XA,"Burn of third degree of upper back, initial encounter"
4654,DRG50804,T2134XA,"Burn of third degree of lower back, initial encounter"
4655,DRG50804,T2135XA,"Burn of third degree of buttock, initial encounter"
4656,DRG50804,T2170XA,"Corrosion of third degree of trunk, unspecified site, initial encounter"
4657,DRG50804,T2171XA,"Corrosion of third degree of chest wall, initial encounter"
4658,DRG50804,T2172XA,"Corrosion of third degree of abdominal wall, initial encounter"
4659,DRG50804,T2173XA,"Corrosion of third degree of upper back, initial encounter"
4660,DRG50804,T2174XA,"Corrosion of third degree of lower back, initial encounter"
4661,DRG50804,T2175XA,"Corrosion of third degree of buttock, initial encounter"
4662,DRG50804,T2230XA,"Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
4663,DRG50804,T22311A,"Burn of third degree of right forearm, initial encounter"
4664,DRG50804,T22312A,"Burn of third degree of left forearm, initial encounter"
4665,DRG50804,T22319A,"Burn of third degree of unspecified forearm, initial encounter"
4666,DRG50804,T22321A,"Burn of third degree of right elbow, initial encounter"
4667,DRG50804,T22322A,"Burn of third degree of left elbow, initial encounter"
4668,DRG50804,T22329A,"Burn of third degree of unspecified elbow, initial encounter"
4669,DRG50804,T22331A,"Burn of third degree of right upper arm, initial encounter"
4670,DRG50804,T22332A,"Burn of third degree of left upper arm, initial encounter"
4671,DRG50804,T22339A,"Burn of third degree of unspecified upper arm, initial encounter"
4672,DRG50804,T22341A,"Burn of third degree of right axilla, initial encounter"
4673,DRG50804,T22342A,"Burn of third degree of left axilla, initial encounter"
4674,DRG50804,T22349A,"Burn of third degree of unspecified axilla, initial encounter"
4675,DRG50804,T22351A,"Burn of third degree of right shoulder, initial encounter"
4676,DRG50804,T22352A,"Burn of third degree of left shoulder, initial encounter"
4677,DRG50804,T22359A,"Burn of third degree of unspecified shoulder, initial encounter"
4678,DRG50804,T22361A,"Burn of third degree of right scapular region, initial encounter"
4679,DRG50804,T22362A,"Burn of third degree of left scapular region, initial encounter"
4680,DRG50804,T22369A,"Burn of third degree of unspecified scapular region, initial encounter"
4681,DRG50804,T22391A,"Burn of third degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
4682,DRG50804,T22392A,"Burn of third degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter"
4683,DRG50804,T22399A,"Burn of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter"
4684,DRG50804,T2270XA,"Corrosion of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
4685,DRG50804,T22711A,"Corrosion of third degree of right forearm, initial encounter"
4686,DRG50804,T22712A,"Corrosion of third degree of left forearm, initial encounter"
4687,DRG50804,T22719A,"Corrosion of third degree of unspecified forearm, initial encounter"
4688,DRG50804,T22721A,"Corrosion of third degree of right elbow, initial encounter"
4689,DRG50804,T22722A,"Corrosion of third degree of left elbow, initial encounter"
4690,DRG50804,T22729A,"Corrosion of third degree of unspecified elbow, initial encounter"
4691,DRG50804,T22731A,"Corrosion of third degree of right upper arm, initial encounter"
4692,DRG50804,T22732A,"Corrosion of third degree of left upper arm, initial encounter"
4693,DRG50804,T22739A,"Corrosion of third degree of unspecified upper arm, initial encounter"
4694,DRG50804,T22741A,"Corrosion of third degree of right axilla, initial encounter"
4695,DRG50804,T22742A,"Corrosion of third degree of left axilla, initial encounter"
4696,DRG50804,T22749A,"Corrosion of third degree of unspecified axilla, initial encounter"
4697,DRG50804,T22751A,"Corrosion of third degree of right shoulder, initial encounter"
4698,DRG50804,T22752A,"Corrosion of third degree of left shoulder, initial encounter"
4699,DRG50804,T22759A,"Corrosion of third degree of unspecified shoulder, initial encounter"
4700,DRG50804,T22761A,"Corrosion of third degree of right scapular region, initial encounter"
4701,DRG50804,T22762A,"Corrosion of third degree of left scapular region, initial encounter"
4702,DRG50804,T22769A,"Corrosion of third degree of unspecified scapular region, initial encounter"
4703,DRG50804,T22791A,"Corrosion of third degree of multiple sites of right shoulder and upper limb, except wrist and hand, initial encounter"
4704,DRG50804,T22792A,"Corrosion of third degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter"
4705,DRG50804,T22799A,"Corrosion of third degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter"
4706,DRG50804,T3111,Burns involving 10-19% of body surface with 10-19% third degree burns
4707,DRG50804,T3211,Corrosions involving 10-19% of body surface with 10-19% third degree corrosion
